property_type,society,sector,price,pricePerSqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,others,store room,pooja room,servant room,furnishing_type,luxury_score,area_per_bedroom
flat,central park flower valley,sector 33 road,1.65,17442.0,3,3,0,1.0,New Property,1051.0,0,0,0,0,0,0,79,315.3333333333333
flat,m3m capital,sector 113,2.9,12620.0,4,4,3+,11.0,Under Construction,2553.0,1,0,0,0,1,0,46,574.5
flat,ansal heights,sector 92,0.6,4545.0,2,2,3,11.0,Under Construction,1195.0,0,1,0,0,0,0,40,660.0
flat,malibu towne,sector 47,2.4,10000.0,3,3,0,0.0,Moderately Old,2667.0,0,0,0,0,0,5,22,800.0
flat,aipl zen residences,sector 70a,1.25,9905.0,2,2,3,19.0,Relatively New,1402.0,0,0,0,0,0,0,0,631.0
flat,m3m heights,sector 65,2.15,15003.0,2,2,3+,28.0,Relatively New,1433.0,0,0,0,0,0,0,70,716.5
flat,hcbs sports ville,sector 33,0.29,3973.0,2,2,1,4.0,Relatively New,743.0,0,0,0,0,0,0,0,365.0
flat,hcbs sports ville,sector 33,0.38,5067.0,2,2,2,9.0,Relatively New,750.0,0,0,0,0,0,0,0,375.0
flat,housing apna enclave,sector 4,0.39,4105.0,2,2,1,1.0,Relatively New,950.0,0,0,0,0,0,0,0,475.0
flat,assotech blith,sector 99,1.6,6667.0,3,4,0,15.0,New Property,2400.0,0,0,0,0,0,0,63,800.0
flat,pareena mi casa,sector 68,1.7,8504.0,4,4,3,2.0,New Property,1809.0,0,0,0,0,0,0,64,499.75
flat,suncity heights,sector 54,3.25,14118.0,3,3,3+,0.0,Old Property,2558.0,0,0,0,1,0,1,139,767.3333333333334
flat,lotus homz,sector 111,0.6,8451.0,2,2,3,9.0,New Property,789.0,0,0,0,0,0,0,59,355.0
flat,ramson kshitij sec-95 gurugram,sector 95,0.27,2700.0,2,2,0,1.0,New Property,758.0,0,0,0,0,0,0,0,500.0
flat,maruti vihar colony,sector 28,0.95,8887.0,2,1,1,1.0,Old Property,1188.0,0,0,0,0,0,0,62,534.5
flat,m3m heights,sector 65,2.65,18493.0,2,2,3,4.0,New Property,1433.0,1,0,0,0,0,1,36,716.5
flat,supertech basera,sector 79,0.36,7643.0,2,2,1,4.0,New Property,546.0,0,0,0,0,0,0,73,235.5
flat,signature global the millennia,sector 37d,0.55,9167.0,2,2,3,3.0,New Property,543.0,0,0,0,0,0,0,60,300.0
flat,m3m soulitude,sector 89,1.32,16923.0,3,3,3,1.0,Under Construction,867.0,0,0,0,0,0,0,69,260.0
flat,raheja vanya,sector 99a,0.59,3976.0,2,2,3,1.0,Under Construction,1133.0,0,1,0,0,0,1,110,742.0
flat,"ganpati apartment  2, laxman vihar phase 1",sector 4,0.45,4707.0,2,2,1,0.0,Relatively New,944.0,0,0,0,0,0,1,42,478.0
flat,ramprastha the atrium,sector 37d,0.9,6224.0,3,3,2,13.0,Relatively New,1185.0,0,0,0,0,0,2,38,482.0
flat,m3m golfestate,sector 79,1.4,10000.0,2,2,2,4.0,Relatively New,1556.0,1,0,1,0,1,2,94,700.0
flat,eldeco accolade,sector 33,0.95,6543.0,2,2,3+,6.0,New Property,1129.0,1,0,0,0,0,1,64,726.0
flat,m3m heights,sector 65,3.0,17996.0,3,3,3,20.0,Under Construction,1667.0,0,0,0,0,0,0,82,555.6666666666666
flat,m3m heights,sector 65,3.67,17990.0,3,3,2,27.0,Under Construction,2040.0,0,0,0,0,1,0,40,680.0
flat,vatika sovereign next,sector 82a,3.85,7500.0,5,6,3+,6.0,New Property,5711.0,0,0,0,1,1,1,157,1026.6
flat,m3m heights,sector 65,3.29,17998.0,3,3,3,33.0,New Property,1828.0,0,0,0,0,0,0,46,609.3333333333334
flat,m3m heights,sector 65,2.33,18477.0,2,2,3,35.0,Under Construction,1141.0,0,0,0,0,0,5,46,630.5
flat,m3m heights,sector 65,2.79,14170.0,3,3,3,26.0,New Property,1969.0,0,0,0,0,0,0,18,656.3333333333334
flat,south city 1 floors,sector 41,3.4,11724.0,4,4,3,0.0,Old Property,2900.0,0,0,0,0,0,0,0,725.0
flat,allure homes,sector 12,0.72,7273.0,2,2,1,2.0,Relatively New,1100.0,0,1,0,0,0,1,20,495.0
